포트.핀,라벨,기능,풀업,AF,DO 초기값,설명
PORTA.0,TIM5_CH1,AF,PULL_UP,TIM10,NULL,
PORTA.1,IN_ETH_REF_CLK,AF,PULL_UP,ETH,NULL,
PORTA.2,ETH_MDIO,AF,PULL_UP,ETH,NULL,
PORTA.3,ADC1_IN3,ADC,NO_PULL,ADC,NULL,
PORTA.4,ADC1_IN4,ADC,NO_PULL,ADC,NULL,
PORTA.5,TIM2_CH1_ETR,AF,PULL_UP,TIM11,LOW,
PORTA.6,RAIN_HALL_ERR,DI,PULL_UP,NULL,NULL,
PORTA.7,ETH_CRS_DV,AF,PULL_UP,ETH,NULL,
PORTA.8,USB_OTG_FS_SOF,AF,PULL_UP,USB,NULL,
PORTA.9,USB_OTG_FS_VBUS,AF,PULL_UP,USB,NULL,
PORTA.10,USB_OTG_FS_ID,AF,PULL_UP,USB,NULL," "
PORTA.11,USB_OTG_FS_DM,AF,PULL_UP,USB,NULL,
PORTA.12,USB_OTG_FS_DP,AF,PULL_UP,USB,NULL,
PORTA.13,SYS_JTMS_SWDIO,AF,PULL_UP,SWJ,NULL,
PORTA.14,SYS_JTCK_SWCLK,AF,PULL_UP,SWJ,NULL,
PORTA.15,SPI1_NSS,DO,PULL_UP,NULL,HIGH,FRAM
,,,,,,
PORTB.0,INT_D_IO,DI,PULL_UP,NULL,NULL,PCF8575 interrupt
PORTB.1,RAIN_HALL,DI,PULL_UP,NULL,NULL,
PORTB.2,BOOT1,DI,PULL_UP,NULL,NULL,
PORTB.3,SPI1_SCK,AF,NO_PULL,SPI1,NULL,
PORTB.4,SPI1_MISO,AF,NO_PULL,SPI1,NULL,
PORTB.5,SPI1_MOSI,AF,PULL_UP,SPI1,NULL,
PORTB.6,I2C1_SCL,AF,PULL_UP,I2C1,NULL,RV8803
PORTB.7,I2C1_SDA,AF,PULL_UP,I2C1,NULL,RV8803
PORTB.8,USB_OTG_PWR_FAIL,DI,PULL_UP,NULL,NULL,
PORTB.9,SEL_IF_UART,DO,PULL_UP,NULL,LOW,rs232 hart선택
PORTB.10,UART3_TX,AF,PULL_UP,USART3,NULL,CDMA
PORTB.11,UART3_RX,AF,PULL_UP,USART3,NULL,CDMA
PORTB.12,ETH_TXD0,AF,PULL_UP,ETH,NULL,
PORTB.13,ETH_TXD1,AF,PULL_UP,ETH,NULL,
PORTB.14,CON_LCD_PWR,DO,PULL_UP,NULL,HIGH,LCDH Active
PORTB.15,RUN_LED_UI,DO,PULL_UP,NULL,HIGH,LCD LED
,,,,,,
PORTC.0,CON_PWR_S24,DO,PULL_UP,NULL,LOW,
PORTC.1,ETH_MDC,AF,PULL_UP,ETH,NULL,
PORTC.2,SPI2_DRDY,DI,PULL_UP,NULL,NULL,
PORTC.3,RS485_DIR_C,DO,PULL_UP,NULL,LOW,
PORTC.4,ETH_RXD0,AF,PULL_UP,ETH,NULL,
PORTC.5,ETH_RXD1,AF,PULL_UP,ETH,NULL,
PORTC.6,UART6_TX,AF,PULL_UP,USART6,NULL,
PORTC.7,UART6_RX,AF,PULL_UP,USART6,NULL,
PORTC.8,SDIO_D0,AF,PULL_UP,SDIO,NULL,
PORTC.9,SDIO_D1,AF,PULL_UP,SDIO,NULL,
PORTC.10,SDIO_D2,AF,PULL_UP,SDIO,NULL,
PORTC.11,SDIO_D3,AF,PULL_UP,SDIO,NULL,
PORTC.12,SDIO_CK,AF,PULL_UP,SDIO,NULL,
PORTC.13,RAIN_REED,DI,PULL_UP,NULL,NULL,
,,,,,,
PORTD.0,FSMC_D2,AF,PULL_UP,FSMC,NULL,
PORTD.1,FSMC_D3,AF,PULL_UP,FSMC,NULL,
PORTD.2,SDIO_CMD,AF,PULL_UP,SDIO,NULL,
PORTD.3,SDIO_DETECT,DI,PULL_UP,NULL,NULL,
PORTD.4,FSMC_NOE,AF,PULL_UP,FSMC,NULL,
PORTD.5,FSMC_NWE,AF,PULL_UP,FSMC,NULL,
PORTD.6,CON_PWR_RAIN_DIGITAL,DO,PULL_UP,NULL,HIGH,
PORTD.7,FSMC_NE1,AF,PULL_UP,FSMC,NULL,
PORTD.8,FSMC_D13,AF,PULL_UP,FSMC,NULL,
PORTD.9,FSMC_D14,AF,PULL_UP,FSMC,NULL,
PORTD.10,FSMC_D15,AF,PULL_UP,FSMC,NULL,
PORTD.11,FSMC_A16,AF,PULL_UP,FSMC,NULL,
PORTD.12,FSMC_A17,AF,PULL_UP,FSMC,NULL,
PORTD.13,FSMC_A18,AF,PULL_UP,FSMC,NULL,
PORTD.14,FSMC_D0,AF,PULL_UP,FSMC,NULL,
PORTD.15,FSMC_D1,AF,PULL_UP,FSMC,NULL,
,,,,,,
PORTE.0,FSMC_NBL0,AF,PULL_UP,FSMC,NULL,
PORTE.1,FSMC_NBL1,AF,PULL_UP,FSMC,NULL,
PORTE.2,EX_UART_RST_A,DO,PULL_UP,NULL,LOW,
PORTE.3,FSMC_A19,AF,PULL_UP,FSMC,NULL,
PORTE.4,FSMC_A20,AF,PULL_UP,FSMC,NULL,
PORTE.5,RV8803_EVI,DO,PULL_UP,NULL,HIGH,
PORTE.6,EX_UART_RST_B,DO,PULL_UP,NULL,LOW,
PORTE.7,FSMC_D4,AF,PULL_UP,FSMC,NULL,
PORTE.8,FSMC_D5,AF,PULL_UP,FSMC,NULL,
PORTE.9,FSMC_D6,AF,PULL_UP,FSMC,NULL,
PORTE.10,FSMC_D7,AF,PULL_UP,FSMC,NULL,
PORTE.11,FSMC_D8,AF,PULL_UP,FSMC,NULL,
PORTE.12,FSMC_D9,AF,PULL_UP,FSMC,NULL,
PORTE.13,FSMC_D10,AF,PULL_UP,FSMC,NULL,
PORTE.14,FSMC_D11,AF,PULL_UP,FSMC,NULL,
PORTE.15,FSMC_D12,AF,PULL_UP,FSMC,NULL,
,,,,,,
PORTF.0,FSMC_A0,AF,PULL_UP,FSMC,NULL,
PORTF.1,FSMC_A1,AF,PULL_UP,FSMC,NULL,
PORTF.2,FSMC_A2,AF,PULL_UP,FSMC,NULL,
PORTF.3,FSMC_A3,AF,PULL_UP,FSMC,NULL,
PORTF.4,FSMC_A4,AF,PULL_UP,FSMC,NULL,
PORTF.5,FSMC_A5,AF,PULL_UP,FSMC,NULL,
PORTF.6,CON_PWR_RAIN,DO,PULL_UP,NULL,HIGH,
PORTF.7,CS_S_FLASH,DO,PULL_UP,NULL,HIGH,
PORTF.8,/RESET_H,DO,PULL_UP,NULL,LOW,
PORTF.9,RTS_H,DO,PULL_UP,NULL,LOW,
PORTF.10,EX_UART_INT7,DI,PULL_UP,NULL,NULL,
PORTF.11,RS485_DIR_D,DO,PULL_UP,NULL,LOW,
PORTF.12,FSMC_A6,AF,PULL_UP,FSMC,NULL,
PORTF.13,FSMC_A7,AF,PULL_UP,FSMC,NULL,
PORTF.14,FSMC_A8,AF,PULL_UP,FSMC,NULL,
PORTF.15,FSMC_A9,AF,PULL_UP,FSMC,NULL,
,,,,,,
PORTG.0,FSMC_A10,AF,PULL_UP,FSMC,NULL,
PORTG.1,FSMC_A11,AF,PULL_UP,FSMC,NULL,
PORTG.2,FSMC_A12,AF,PULL_UP,FSMC,NULL,
PORTG.3,FSMC_A13,AF,PULL_UP,FSMC,NULL,
PORTG.4,FSMC_A14,AF,PULL_UP,FSMC,NULL,
PORTG.5,FSMC_A15,AF,PULL_UP,FSMC,NULL,
PORTG.6,DIR_RS485_A,DO,PULL_UP,NULL,LOW,
PORTG.7,DIR_RS485_B,DO,PULL_UP,NULL,LOW,
PORTG.8,DIR_SDI,DO,PULL_UP,NULL,LOW,
PORTG.9,FSMC_NE2,AF,PULL_UP,FSMC,NULL,
PORTG.10,FSMC_NE3,AF,PULL_UP,FSMC,NULL,
PORTG.11,ETH_TX_EN,AF,PULL_UP,ETH,NULL,
PORTG.12,SW_SYS,DI,PULL_UP,NULL,NULL,
PORTG.13,NOR_RESET,DO,PULL_UP,NULL,LOW,
PORTG.14,INT_RTC,DI,PULL_UP,NULL,NULL,
PORTG.15,RAIN_DETECT,DI,PULL_UP,NULL,NULL,
,,,,,,
PORTH.2,ETH_RST_PHY,AF,PULL_UP,ETH,NULL,
PORTH.3,ETH_RX_ER,AF,PULL_UP,ETH,NULL,
PORTH.4,I2C2_SCL,AF,PULL_UP,I2C2,NULL,
PORTH.5,I2C2_SDA,AF,PULL_UP,I2C2,LOW,
PORTH.6,CON_PWR_CDMA,DO,PULL_UP,NULL,NULL,
PORTH.7,I2C3_SCL,AF,PULL_UP,I2C3,NULL,
PORTH.8,I2C3_SDA,DO,PULL_UP,I2C3,LOW,
PORTH.9,SYS_RUN,DO,PULL_UP,NULL,LOW,
PORTH.10,ADC_EN_RTD,DO,PULL_UP,NULL,LOW,
PORTH.11,ADC_EN_ODD,DO,PULL_UP,NULL,LOW,
PORTH.12,ADC_EN_EVEN,DO,PULL_UP,NULL,LOW,
PORTH.13,ADC_SEL_A0,DO,PULL_UP,NULL,LOW,
PORTH.14,ADC_SEL_A1,DO,PULL_UP,NULL,LOW,
PORTH.15,ADC_SEL_A2,DO,PULL_UP,NULL,LOW,
,,,,,,
PORTI.0,SPI2_NSS,DO,PULL_UP,NULL,HIGH,
